"","序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤","Open","High","Low","ClosePrice","Volume","Adjusted","day"
"234",25,2021-08-30,"聯茂","6213","上市增資",2021-08-24,2021-08-26,4250000,4250000,130,130,2021-09-07,"福邦",1000,552500000,4315,98.49,NA,131,132.5,130,130.5,1588025,130.5,"2021-08-24"
"235",27,2021-08-27,"樂士","1529","上市增資",2021-08-23,2021-08-25,3400000,3400000,12.6,12.6,2021-09-06,"統一",2000,42840000,156374,1.08,NA,15.95,16.1,15.95,16.1,120049,16.1,"2021-08-23"
"236",38,2021-08-20,"中揚光","6668","上市增資",2021-08-16,2021-08-18,850000,850000,50,50,2021-08-30,"元大",1000,42500000,46202,1.83,NA,56.5,56.5,54,54.900002,516677,54.900002,"2021-08-16"
"237",39,2021-08-19,"橋椿","2062","上市增資",2021-08-13,2021-08-17,3160000,3160000,25.5,25.5,2021-08-27,"元大",1000,80580000,78055,4.04,NA,29.450001,29.5,28.799999,28.799999,536162,28.799999,"2021-08-13"
"238",41,2021-08-17,"東明-KY","5538","第一上市公司現金增資",2021-08-11,2021-08-13,2550000,2550000,36,36,2021-08-25,"凱基",1000,91800000,135470,1.88,NA,44.700001,45.049999,42.650002,42.700001,180002,42.700001,"2021-08-11"
"239",43,2021-08-17,"新光金","2888","上市增資",2021-08-11,2021-08-13,8.5e+07,8.5e+07,8.2,8.2,2021-08-25,"永豐金",5000,6.97e+08,201145,8.45,NA,9.13,9.23,9.12,9.17,60132483,9.17,"2021-08-11"
"240",47,2021-08-16,"一詮","2486","上市增資",2021-08-10,2021-08-12,1700000,1700000,43,43,2021-08-24,"福邦",1000,73100000,200368,0.84,NA,59.700001,60.5,55.200001,55.200001,16450312,55.200001,"2021-08-10"
"241",48,2021-08-16,"嘉威","3557","上市增資",2021-08-10,2021-08-12,680000,680000,76,76,2021-08-24,"台新",1000,51680000,85586,0.79,NA,86.099998,86.5,84.400002,85.5,121668,85.5,"2021-08-10"
"242",58,2021-08-02,"天鈺","4961","上市增資",2021-07-27,2021-07-29,1700000,1700000,255,255,2021-08-10,"福邦",1000,433500000,93908,1.81,NA,313,316.5,293.5,294,16290682,294,"2021-07-27"
"243",68,2021-07-22,"三商壽","2867","上市增資",2021-07-16,2021-07-20,11700000,11700000,8.3,8.3,2021-07-30,"國泰",1000,97110000,122029,9.58,NA,9.23,9.48,9.21,9.46,12335351,9.46,"2021-07-16"
"244",71,2021-07-14,"佳凌","4976","上市增資",2021-07-08,2021-07-12,1700000,1700000,61,61,2021-07-22,"福邦",1000,103700000,318468,0.53,NA,86.5,88.400002,86.199997,86.900002,5473485,86.900002,"2021-07-08"
"245",73,2021-06-30,"雷虎","8033","上市增資",2021-06-24,2021-06-28,1700000,1700000,12.2,12.2,2021-07-08,"福邦",1000,20740000,121580,1.39,NA,15.25,15.4,15.1,15.4,850920,15.4,"2021-06-24"
"246",93,2021-05-17,"廷鑫","2358","上市增資",2021-05-11,2021-05-13,2550000,2550000,13.5,13.5,2021-05-25,"國票",1000,34425000,66771,3.81,NA,18,18,16.200001,16.6,2356137,16.6,"2021-05-11"
"247",96,2021-05-10,"至上","8112","上市增資",2021-05-04,2021-05-06,4250000,4250000,32,32,2021-05-18,"元大",1000,1.36e+08,250587,1.69,NA,41.599998,41.799999,39.299999,40.900002,10109717,40.900002,"2021-05-04"
"248",98,2021-05-05,"業旺","1475","上市增資",2021-04-28,2021-05-03,850000,850000,26.8,26.8,2021-05-13,"福邦",1000,22780000,371650,0.22,NA,57.099998,57.299999,57,57.299999,137133,57.299999,"2021-04-28"
"249",113,2021-03-25,"展碁國際","6776","初上市",2021-03-19,2021-03-23,1431000,1431000,25,25,2021-03-31,"永豐金",1000,35775000,406283,0.35,NA,40.299999,44.450001,40.150002,44.150002,1296477,42.161263,"2021-03-19"
"250",114,2021-03-23,"台船","2208","上市增資",2021-03-17,2021-03-19,38264000,38264000,17.5,17.5,2021-03-31,"凱基",2000,669620000,330880,5.78,NA,23.25,23.700001,22.799999,22.9,9692921,22.9,"2021-03-17"
"251",115,2021-03-22,"科嘉-KY","5215","第一上市公司現金增資",2021-03-16,2021-03-18,425000,425000,105,105,2021-03-30,"凱基",1000,44625000,218283,0.19,NA,140.5,141,136.5,138.5,825649,129.775589,"2021-03-16"
"252",116,2021-03-16,"聚陽","1477","上市增資",2021-03-10,2021-03-12,1870000,1870000,136,136,2021-03-24,"凱基",1000,254320000,376054,0.49,NA,207,219.5,207,217.5,4599276,210.567734,"2021-03-10"
"253",118,2021-03-15,"麗清","3346","上市增資",2021-03-09,2021-03-11,595000,595000,39,39,2021-03-23,"群益金鼎",1000,23205000,173891,0.34,NA,48.299999,51,48,49.549999,13039144,49.549999,"2021-03-09"
"254",126,2021-03-02,"惠特","6706","上市增資",2021-02-23,2021-02-25,425000,425000,126,126,2021-03-10,"凱基",1000,53550000,182260,0.23,NA,162,163.5,159,162,1331173,162,"2021-02-23"
"255",137,2021-01-28,"聚鼎","6224","上市增資",2021-01-22,2021-01-26,410000,410000,68,68,2021-02-05,"凱基",1000,27880000,250195,0.16,NA,101.5,109,99.900002,106,2041993,102.650558,"2021-01-22"
"256",139,2021-01-27,"和大","1536","上市增資",2021-01-21,2021-01-25,2125000,2125000,90,90,2021-02-04,"玉山",1000,191250000,228827,0.92,NA,117,121.5,116.5,119,3725404,117.660187,"2021-01-21"
"257",143,2021-01-26,"懷特","4108","上市增資",2021-01-20,2021-01-22,3088000,3088000,20,20,2021-02-03,"福邦",1000,61760000,116624,2.64,NA,25.15,25.15,23.950001,23.950001,1033373,23.950001,"2021-01-20"
"258",150,2021-01-20,"康普","4739","上市增資",2021-01-14,2021-01-18,850000,850000,50,50,2021-01-28,"福邦",1000,42500000,194276,0.43,NA,68,69.5,67.199997,69.400002,1265852,68.728386,"2021-01-14"
"259",154,2021-01-14,"穎崴","6515","初上市",2021-01-08,2021-01-12,517000,517000,348,348,2021-01-20,"凱基",1000,179916000,117261,0.44,NA,425,426,415.5,419.5,410141,399.97821,"2021-01-08"
"260",156,2021-01-11,"台驊投控","2636","上市增資",2021-01-05,2021-01-07,850000,850000,30,30,2021-01-19,"凱基",1000,25500000,200094,0.42,NA,41.799999,41.799999,40.700001,40.849998,1502760,40.849998,"2021-01-05"
"261",163,2021-01-05,"光麗-KY","6431","第一上市公司現金增資",2020-12-29,2020-12-31,408000,408000,29.8,29.8,2021-01-13,"台中銀",1000,12158400,4992,8.17,NA,30.5,30.5,29.799999,29.9,209000,29.9,"2020-12-29"
"262",3,2016-12-22,"宏觀","6568","初上櫃",2016-12-16,2016-12-20,380000,380000,136,136,2016-12-28,"兆豐",1000,51680000,91349,0.41,NA,130.904755,132.069092,124.34288,130.904755,584173,111.430298,"2016-12-16"
"263",5,2016-12-16,"易威","1799","上櫃增資",2016-12-12,2016-12-14,1190000,1190000,19.2,19.2,2016-12-26,"群益金鼎",1000,22848000,32771,3.63,NA,21.450001,22.4,21.450001,21.6,286802,21.6,"2016-12-12"
"264",6,2016-12-15,"嘉鋼","2067","上櫃增資",2016-12-09,2016-12-13,553000,553000,13,13,2016-12-23,"華南永昌",1000,7189000,19632,2.81,NA,13.789611,14.282098,13.789611,13.937357,42934,13.489571,"2016-12-09"
"265",7,2016-12-15,"台興","3426","初上櫃",2016-12-09,2016-12-13,170000,1020000,42,40,2016-12-21,"元大",1000,40800000,126324,0.8,NA,49.166664,49.900002,47.5,49.166664,45600,39.448437,"2016-12-09"
"266",9,2016-12-15,"醫揚","6569","初上櫃",2016-12-09,2016-12-13,409000,409000,185,185,2016-12-21,"台新",1000,75665000,112623,0.36,NA,143.651382,143.651382,137.640869,143.651382,52644,117.821831,"2016-12-09"
"267",11,2016-12-09,"台嘉碩","3221","上櫃增資",2016-12-05,2016-12-07,765000,765000,21,21,2016-12-19,"凱基",1000,16065000,66997,1.14,NA,25.1,25.299999,24.799999,25.25,124483,22.716057,"2016-12-05"
"268",29,2016-11-14,"和勤精機","1586","上櫃增資",2016-11-08,2016-11-10,1275000,1275000,19.4,19.4,2016-11-22,"元富",1000,24735000,21505,5.92,NA,18.877417,19.102146,18.697632,18.877417,367409,18.456326,"2016-11-08"
"269",30,2016-11-09,"閎康科技","3587","上櫃增資",2016-11-03,2016-11-07,630000,630000,71.5,71.5,2016-11-17,"富邦",1000,45045000,20918,3.01,NA,75.982193,76.180321,73.307465,73.70372,236881,63.655788,"2016-11-03"
"270",39,2016-10-25,"創業家","8477","初上櫃",2016-10-19,2016-10-21,197000,1182000,68,66,2016-10-31,"國泰",1000,78012000,134731,0.87,NA,65.724129,69.069366,64.944885,65.724129,107496,54.8326,"2016-10-19"
"271",43,2016-10-20,"家登","3680","上櫃增資",2016-10-14,2016-10-18,315000,315000,30,30,2016-10-28,"合庫",1000,9450000,2514,12.52,NA,30.411572,30.411572,29.914652,29.964342,118185,28.502892,"2016-10-14"
"272",47,2016-10-17,"倉和","6538","初上櫃",2016-10-11,2016-10-13,216000,1296000,95,90,2016-10-21,"兆豐",1000,116640000,145836,0.88,NA,99.186989,102.032516,97.162598,99.186989,67182,78.020943,"2016-10-11"
"273",54,2016-09-29,"兆利","3548","上櫃增資",2016-09-21,2016-09-23,850000,850000,60,60,2016-10-07,"永豐金",1000,5.1e+07,109656,0.77,NA,70.400002,70.900002,69.699997,69.900002,793937,53.576309,"2016-09-21"
"274",55,2016-09-22,"國碳科","4754","初上櫃",2016-09-14,2016-09-20,157000,942000,36,33,2016-09-28,"國票",1000,31086000,138266,0.68,NA,34.357822,35.900799,33.745628,34.357822,166643,28.194767,"2016-09-14"
"275",57,2016-09-20,"順藥","6535","初上櫃",2016-09-12,2016-09-14,1700000,1700000,54,54,2016-09-26,"元富",1000,91800000,127617,1.33,NA,64.809998,65.5,64.099998,64.809998,113988,64.809998,"2016-09-12"
"276",58,2016-09-20,"瑞耘","6532","初上櫃",2016-09-12,2016-09-14,247000,1482000,25,24,2016-09-26,"國泰",1000,35568000,81062,1.82,NA,29.6,29.6,29.450001,29.6,19100,23.989683,"2016-09-12"
"277",59,2016-09-20,"生展","8279","初上櫃",2016-09-12,2016-09-14,420000,420000,58.8,58.8,2016-09-26,"群益金鼎",1000,24696000,115721,0.36,NA,66.823303,68.774544,65.050255,66.823303,68934,62.542458,"2016-09-12"
"278",64,2016-09-10,"佰研","3205","上櫃增資",2016-09-06,2016-09-08,170000,170000,133,133,2016-09-21,"福邦",1000,22610000,80153,0.21,NA,164,164,153.5,155.5,1621766,143.153549,"2016-09-06"
"279",65,2016-09-08,"互動","6486","初上櫃",2016-09-02,2016-09-06,356000,2136000,37,33,2016-09-13,"富邦",1000,70488000,123545,1.72,NA,54.75,55.112499,54.137501,54.75,53200,37.690819,"2016-09-02"
"280",66,2016-09-08,"長華科","6548","初上櫃",2016-09-02,2016-09-06,425000,425000,102,102,2016-09-13,"凱基",1000,43350000,154186,0.27,NA,15.395298,15.733995,15.25193,15.395298,853278,13.171309,"2016-09-02"
"281",68,2016-09-02,"隆中","6542","初上櫃",2016-08-29,2016-08-31,704000,704000,106,106,2016-09-08,"元大",1000,74624000,103835,0.67,NA,118.571426,120.476189,118.571426,118.571426,12013,110.649704,"2016-08-29"
"282",74,2016-09-01,"大國鋼","8415","初上櫃",2016-08-26,2016-08-30,2e+06,2e+06,15,15,2016-09-07,"統一",1000,3e+07,89884,2.22,NA,16.53492,16.726761,16.443567,16.53492,12041,13.359792,"2016-08-26"
"283",76,2016-08-25,"富裔","6264","上櫃增資",2016-08-19,2016-08-23,2700000,2700000,10,10,2016-09-02,"元富",1000,2.7e+07,3488,77.4,NA,10.5,11,10.4,10.5,195284,10.5,"2016-08-19"
"284",78,2016-08-03,"東捷","8064","上櫃增資",2016-07-28,2016-08-01,2550000,2550000,13,13,2016-08-11,"凱基",1000,33150000,135409,1.88,NA,15.9,17.4,15.9,17.4,16496090,14.718596,"2016-07-28"
"285",83,2016-08-01,"橙的電子","4554","初上櫃",2016-07-26,2016-07-28,215000,1290000,59,56,2016-08-05,"宏遠",1000,72240000,176310,0.73,NA,80.099998,81.559998,78.510002,80.099998,97987,77.514168,"2016-07-26"
"286",85,2016-07-22,"力麗店","5364","上櫃增資",2016-07-18,2016-07-20,340000,340000,20,20,2016-08-01,"兆豐",1000,6800000,40639,0.83,NA,22.9,24.200001,22.9,24.200001,65356,23.104979,"2016-07-18"
"287",90,2016-07-21,"益安","6499","初上櫃",2016-07-15,2016-07-19,1020000,1020000,132,132,2016-07-27,"元富",1000,134640000,190924,0.53,NA,160.078415,160.983704,156.36676,160.078415,393936,160.078415,"2016-07-15"
"288",91,2016-07-20,"雙鴻","3324","上櫃增資",2016-07-14,2016-07-18,450000,450000,50,50,2016-07-28,"台新",1000,22500000,191734,0.23,NA,82.099998,82.199997,80.699997,80.800003,3871213,68.945984,"2016-07-14"
"289",99,2016-07-13,"藥華藥","6446","初上櫃",2016-07-07,2016-07-11,3600000,3600000,159,159,2016-07-19,"凱基",1000,572400000,144295,2.49,NA,190.940002,195.990005,189,190.940002,1248643,190.940002,"2016-07-07"
"290",100,2016-07-07,"健喬信元","4114","上櫃增資",2016-07-01,2016-07-05,1700000,1700000,30,30,2016-07-18,"永豐金",1000,5.1e+07,77470,2.19,NA,21.012911,21.201086,20.950186,21.106998,1060484,20.384678,"2016-07-01"
"291",102,2016-06-22,"安克","4188","上櫃增資",2016-06-16,2016-06-20,1003000,1003000,30,30,2016-06-30,"福邦",1000,30090000,50040,2,NA,34.650002,34.650002,33.200001,33.349998,338536,33.349998,"2016-06-16"
"292",108,2016-06-08,"達爾膚","6523","初上櫃",2016-06-03,2016-06-06,634000,634000,188,188,2016-06-16,"元大",1000,119192000,211425,0.29,NA,312.089996,315.769989,300.01001,312.089996,9318,221.222549,"2016-06-03"
"293",112,2016-06-04,"弘煜科技","6482","初上櫃",2016-05-31,2016-06-02,129000,774000,70,66,2016-06-13,"日盛",1000,51084000,83397,0.92,NA,61.961128,62.865833,61.580997,61.961128,9869,58.217152,"2016-05-31"
"294",114,2016-05-26,"久陽","5011","上櫃增資",2016-05-20,2016-05-24,638000,638000,20,20,2016-06-03,"兆豐",1000,12760000,8186,7.79,NA,21.799999,21.799999,21.799999,21.799999,1000,19.543209,"2016-05-20"
"295",120,2016-05-16,"正德","2641","上櫃增資",2016-05-10,2016-05-12,2575000,2575000,7,7,2016-05-24,"合庫",1000,18025000,1230,100,NA,8.960719,8.960719,8.762966,8.898921,319589,8.682926,"2016-05-10"
"296",122,2016-05-10,"三顧","3224","上櫃增資",2016-05-04,2016-05-06,9e+05,9e+05,27.65,27.65,2016-05-18,"康和",1000,24885000,11416,7.88,NA,27.310852,28.315279,27.310852,28.028299,315704,28.028299,"2016-05-04"
"297",124,2016-05-06,"光明","4420","上櫃增資",2016-04-29,2016-05-04,935000,935000,32,32,2016-05-16,"福邦",1000,29920000,99462,0.94,NA,39.799999,41.450001,39.799999,41,435987,28.266207,"2016-04-29"
"298",128,2016-05-03,"九齊","6494","初上櫃",2016-04-26,2016-04-28,213000,1278000,27,26,2016-05-09,"群益金鼎",1000,33228000,134363,0.95,NA,33.829662,34.905174,33.585232,33.829662,32116,23.881273,"2016-04-26"
"299",133,2016-04-27,"茂迪","6244","上櫃增資",2016-04-21,2016-04-25,4500000,4500000,31,31,2016-05-06,"元大",1000,139500000,1801,100,NA,48.566513,48.793461,46.826591,47.280483,7369628,46.945755,"2016-04-21"
"300",137,2016-04-19,"展旺","4167","上櫃增資",2016-04-13,2016-04-15,3060000,3060000,20,20,2016-04-27,"元大",1000,61200000,26352,11.61,NA,20.624285,20.813498,20.340464,20.576981,708146,20.455879,"2016-04-13"
"301",148,2016-03-24,"大樹醫藥","6469","初上櫃",2016-03-18,2016-03-22,195000,1170000,75,70,2016-03-30,"台新",1000,81900000,155354,0.75,NA,32.896118,33.042484,32.200871,32.896118,57452,29.925077,"2016-03-18"
"302",149,2016-03-21,"啟發","6512","初上櫃",2016-03-15,2016-03-17,193000,1158000,40,36,2016-03-25,"兆豐",1000,41688000,96704,1.19,NA,47,49.490002,46.200001,47,109900,37.580208,"2016-03-15"
"303",151,2016-03-18,"精測","6510","初上櫃",2016-03-14,2016-03-16,473000,473000,360,360,2016-03-24,"中國信託",1000,170280000,181254,0.26,NA,533.659973,538,528.27002,533.659973,151456,491.151672,"2016-03-14"
"304",153,2016-03-09,"萬在","4543","初上櫃",2016-03-03,2016-03-07,435000,2610000,30,26,2016-03-15,"台新",1000,67860000,98814,2.64,NA,35,35.200001,33.950001,35,89300,29.077074,"2016-03-03"
"305",155,2016-03-03,"昇華","4806","初上櫃",2016-02-25,2016-03-01,298000,1788000,112,112,2016-03-09,"群益金鼎",1000,200256000,168079,1.06,NA,123.728813,126.271187,122.720337,123.728813,305892,120.904846,"2016-02-25"
"306",160,2016-02-26,"捷迅","2643","初上櫃",2016-02-22,2016-02-24,394000,2364000,28,26,2016-03-04,"中國信託",1000,61464000,191971,1.23,NA,40.434841,42.594654,39.448627,40.434841,93349,28.932268,"2016-02-22"
"307",162,2016-02-23,"合晶","6182","上櫃增資",2016-02-17,2016-02-19,2550000,2550000,11.3,11.3,2016-03-03,"台新",1000,28815000,32287,7.89,NA,11.748225,12.739636,11.748225,12.640495,18629259,10.947365,"2016-02-17"
"308",168,2016-02-19,"F*太景","4157","第一上櫃公司現金增資",2016-02-15,2016-02-17,1700000,1700000,24.01,24.01,2016-03-01,"凱基",1000,40817000,80151,2.12,NA,28.200001,28.9,28.200001,28.25,706065,28.25,"2016-02-15"
"309",169,2016-01-25,"中美實","4702","上櫃增資",2016-01-19,2016-01-21,2125000,2125000,10.15,10.15,2016-02-01,"凱基",1000,21568750,835,100,NA,32.348366,32.503887,32.192844,32.503887,3890,32.503887,"2016-01-19"
"310",173,2016-01-21,"福邦證","6026","初上櫃",2016-01-15,2016-01-19,2e+06,2e+06,9.5,9.5,2016-01-27,"中國信託",5000,1.9e+07,1679,23.82,NA,8.852977,9.108527,8.761709,8.852977,92146,6.578652,"2016-01-15"
"311",179,2016-01-13,"笙科","5272","上櫃增資",2016-01-07,2016-01-11,540000,540000,30,30,2016-01-21,"凱基",1000,16200000,18951,2.84,NA,33.900002,34.200001,30.799999,32,606337,28.655209,"2016-01-07"
"312",186,2016-01-06,"宜特","3289","上櫃增資",2015-12-30,2016-01-04,340000,340000,76,76,2016-01-14,"元大",1000,25840000,125252,0.27,NA,88.905441,89.17984,85.521179,85.521179,1036160,71.993759,"2015-12-30"
"313",187,2016-01-05,"夠麻吉","8472","初上櫃",2015-12-29,2015-12-31,202000,1212000,130,128,2016-01-11,"中國信託",1000,155136000,174653,0.69,NA,169,174.490005,168,169,29290,126.130417,"2015-12-29"
"314",1,2017-12-29,"謚源","2235","上櫃增資",2017-12-25,2017-12-27,340000,340000,83,83,2018-01-09,"統一",1000,28220000,38658,0.87,NA,89.900002,91.900002,89.900002,90.5,31000,75.511063,"2017-12-25"
"315",4,2017-12-28,"寬宏","6596","初上櫃",2017-12-22,2017-12-26,661000,661000,62.84,62.84,2018-01-04,"福邦",1000,41537240,85333,0.77,NA,59.917355,61.983471,58.884296,59.917355,57063,46.463646,"2017-12-22"
"316",6,2017-12-22,"朋億","6613","初上櫃",2017-12-18,2017-12-20,1279000,1279000,135,135,2017-12-28,"凱基",1000,172665000,147023,0.86,NA,189.009995,190.990005,188,189.009995,116347,142.646164,"2017-12-18"
"317",7,2017-12-22,"長華科","6548","上櫃增資",2017-12-18,2017-12-20,510000,510000,400,400,2018-01-02,"富邦",1000,2.04e+08,6512,7.83,NA,41.5,41.5,41.349998,41.400002,365420,35.525444,"2017-12-18"
"318",13,2017-12-11,"閎康","3587","上櫃增資",2017-12-05,2017-12-07,765000,765000,82,82,2017-12-19,"富邦",1000,62730000,7860,9.73,NA,85.199997,85.199997,82.900002,82.900002,323000,73.722031,"2017-12-05"
"319",19,2017-12-05,"先進光","3362","上櫃增資",2017-11-29,2017-12-01,850000,850000,60,60,2017-12-13,"元富",1000,5.1e+07,91054,0.93,NA,69.634964,70.489967,68.399963,68.779968,2376982,68.034843,"2017-11-29"
"320",20,2017-12-05,"維田","6570","初上櫃",2017-11-29,2017-12-01,637000,637000,25.2,25.2,2017-12-11,"中國信託",1000,16052400,103540,0.61,NA,31.162163,31.162163,31.081081,31.162163,35520,26.794125,"2017-11-29"
"321",21,2017-12-04,"嘉鋼","2067","上櫃增資",2017-11-28,2017-11-30,680000,680000,11.5,11.5,2017-12-12,"華南永昌",1000,7820000,22199,3.06,NA,12.8,12.8,12.3,12.45,51752,12.05,"2017-11-28"
"322",32,2017-11-20,"愛地雅","8933","上櫃增資",2017-11-14,2017-11-16,2600000,2600000,10,10,2017-11-28,"台新",1000,2.6e+07,23551,11.03,NA,16.071428,16.214285,15.571428,15.714285,714963,15.714285,"2017-11-14"
"323",33,2017-11-17,"崇佑-KY","5543","第一上櫃公司現金增資",2017-11-13,2017-11-15,315000,315000,20.6,20.6,2017-11-27,"國泰",1000,6489000,7729,4.07,NA,21.291992,21.738676,21.242359,21.242359,25185,19.481531,"2017-11-13"
"324",34,2017-11-17,"益張","8342","初上櫃",2017-11-13,2017-11-15,610000,610000,41,41,2017-11-23,"台新",1000,25010000,117413,0.51,NA,56,56,53.990002,56,337862,41.60302,"2017-11-13"
"325",41,2017-10-30,"台灣銘板","6593","初上櫃",2017-10-24,2017-10-26,401000,401000,30,30,2017-11-03,"台新",1000,12030000,108363,0.37,NA,39.700001,40.5,39.5,39.700001,68631,34.255707,"2017-10-24"
"326",42,2017-10-25,"勝品","6556","初上櫃",2017-10-19,2017-10-23,460000,460000,29.7,29.7,2017-10-31,"凱基",1000,13662000,148847,0.3,NA,50.84,50.84,44.5,50.84,32100,42.672295,"2017-10-19"
"327",44,2017-10-19,"川寶","1595","上櫃增資",2017-10-13,2017-10-17,510000,510000,59.8,59.8,2017-10-27,"群益金鼎",1000,30498000,63725,0.8,NA,66.900002,67,66.300003,67,100451,55.907654,"2017-10-13"
"328",53,2017-10-02,"聯合骨科","4129","上櫃增資",2017-09-27,2017-09-29,680000,680000,48,48,2017-10-13,"富邦",1000,32640000,160782,0.42,NA,71,71,69.5,69.800003,607100,63.837227,"2017-09-27"
"329",54,2017-09-22,"磐儀","3594","上櫃增資",2017-09-18,2017-09-20,425000,425000,24.6,24.6,2017-09-30,"永豐金",1000,10455000,90798,0.46,NA,30.060585,30.060585,29.407093,29.407093,568799,28.916531,"2017-09-18"
"330",55,2017-09-21,"漢來美食","1268","初上櫃",2017-09-15,2017-09-19,585000,585000,150,150,2017-09-27,"凱基",1000,87750000,112470,0.52,NA,182.544296,184.486252,179.631363,182.544296,28342,149.261185,"2017-09-15"
"331",57,2017-09-21,"廣錠","6441","初上櫃",2017-09-15,2017-09-19,583000,583000,50,50,2017-09-27,"富邦",1000,29150000,130832,0.44,NA,59.421635,59.664345,58.157879,59.421635,44852,52.119602,"2017-09-15"
"332",58,2017-09-20,"泓瀚科技","4741","初上櫃",2017-09-14,2017-09-18,657000,657000,55.2,55.2,2017-09-26,"國泰",1000,36266400,142949,0.45,NA,77.5,78.690002,77.059998,77.5,133300,63.385567,"2017-09-14"
"333",65,2017-09-14,"金居開發","8358","上櫃增資",2017-09-08,2017-09-12,3570000,3570000,47.8,47.8,2017-09-22,"富邦",1000,170646000,137777,2.59,NA,52,54.5,51.900002,53.700001,15624419,42.569107,"2017-09-08"
"334",67,2017-09-07,"研勤","3632","上櫃增資",2017-09-01,2017-09-05,1530000,1530000,11,11,2017-09-15,"富邦",1000,16830000,94830,1.61,NA,19.372183,19.372183,19.026253,19.095438,321003,19.095438,"2017-09-01"
"335",69,2017-08-29,"霈方","6574","初上櫃",2017-08-23,2017-08-25,338000,338000,128,128,2017-09-04,"永豐金",1000,43264000,68483,0.49,NA,143.5,145,143,143.5,7100,125.946938,"2017-08-23"
"336",70,2017-08-25,"台灣精星","8183","上櫃增資",2017-08-21,2017-08-23,782000,782000,18.5,18.5,2017-09-04,"宏遠",1000,14467000,84500,0.92,NA,22.85,22.9,22.4,22.5,977001,20.650316,"2017-08-21"
"337",71,2017-08-24,"家登","3680","上櫃增資",2017-08-18,2017-08-22,413000,413000,32,32,2017-09-01,"合庫",1000,13216000,1204,34.3,NA,31.760633,32.158886,31.561508,31.760633,217098,30.211576,"2017-08-18"
"338",72,2017-08-22,"矽瑪","3511","上櫃增資",2017-08-16,2017-08-18,476000,476000,15,15,2017-08-30,"福邦",1000,7140000,31410,1.51,NA,16.31793,17.881327,16.31793,17.392765,98355,17.392765,"2017-08-16"
"339",80,2017-08-11,"志豐","3206","上櫃增資",2017-08-07,2017-08-09,510000,510000,17,17,2017-08-21,"玉山",1000,8670000,79964,0.63,NA,19.848135,19.99231,19.800076,19.800076,162994,15.640706,"2017-08-07"
"340",81,2017-08-10,"漢磊","3707","上櫃增資",2017-08-04,2017-08-08,4250000,4250000,11.85,11.85,2017-08-18,"凱基",2000,50362500,151051,1.4,NA,15.1,15.45,14.7,15,5922789,14.890655,"2017-08-04"
"341",83,2017-08-04,"鈦昇","8027","上櫃增資",2017-07-31,2017-08-02,850000,850000,28,28,2017-08-14,"合庫",1000,23800000,26456,3.21,NA,30.387003,30.387003,29.308754,29.504799,624750,28.607815,"2017-07-31"
"342",95,2017-07-12,"茂迪","6244","上櫃增資",2017-07-06,2017-07-10,4250000,4250000,24,24,2017-07-20,"凱基",1000,1.02e+08,14788,28.73,NA,38.20768,38.436012,37.979347,37.979347,1220343,37.710464,"2017-07-06"
"343",103,2017-06-03,"集雅社","2937","初上櫃",2017-05-26,2017-06-01,486000,486000,25.16,25.16,2017-06-08,"第一金",1000,12227760,116285,0.41,NA,33.5,33.700001,33.209999,33.5,33000,29.236574,"2017-05-26"
"344",113,2017-05-15,"亞通","6179","上櫃增資",2017-05-09,2017-05-11,1020000,1020000,45,45,2017-05-23,"群益金鼎",1000,45900000,64850,1.57,NA,48.599998,49.450001,48.5,49.099998,136252,38.100697,"2017-05-09"
"345",121,2017-04-24,"大學光","3218","上櫃增資",2017-04-18,2017-04-20,850000,850000,22,22,2017-05-03,"福邦",1000,18700000,73300,1.15,NA,25,25.299999,24.700001,25.200001,396867,21.868597,"2017-04-18"
"346",122,2017-04-21,"三貝德","8489","初上櫃",2017-04-17,2017-04-19,425000,425000,85,85,2017-04-27,"凱基",1000,36125000,201912,0.21,NA,103.578156,105.589188,102.232986,103.578156,46348,92.29969,"2017-04-17"
"347",126,2017-04-18,"生華科","6492","初上櫃",2017-04-12,2017-04-14,1530000,1530000,162,162,2017-04-24,"永豐金",1000,247860000,91154,1.67,NA,187.059998,190,186.5,187.059998,77067,187.059998,"2017-04-12"
"348",130,2017-04-17,"高技","5439","上櫃增資",2017-04-11,2017-04-13,680000,680000,27.5,27.5,2017-04-25,"凱基",1000,18700000,89507,0.75,NA,32.549999,32.599998,31.799999,31.799999,1114089,24.651293,"2017-04-11"
"349",131,2017-04-17,"世豐螺絲","2065","初上櫃",2017-04-11,2017-04-13,507000,507000,32.2,32.2,2017-04-21,"富邦",1000,16325400,188685,0.26,NA,37.46574,40.528831,37.336208,37.46574,355923,27.886084,"2017-04-11"
"350",132,2017-04-13,"保瑞","6472","初上櫃",2017-04-07,2017-04-11,529000,529000,32.5,32.5,2017-04-19,"台新",1000,17192500,262308,0.2,NA,46.372677,48.353085,45.773949,46.372677,270355,43.681274,"2017-04-07"
