出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","103","4","4129","聯合","1100788.00","337524.00","763264.00","--","--","763264.00","661784.00","0.00","101480.00","7366.00","108846.00","27117.00","81729.00","--","--","81729.00","1467.00","--","83196.00","81729.00","--","--","83196.00","--","--","1.52"
"110/05/29","103","4","4130","健亞","475450.00","243920.00","231530.00","--","--","231530.00","155618.00","--","75912.00","5776.00","81688.00","9155.00","72533.00","--","--","72533.00","108827.00","--","181360.00","72533.00","--","--","181360.00","--","--","0.75"
"110/05/29","103","4","4131","晶宇","26549.00","9602.00","16947.00","--","--","16947.00","43659.00","--","-26712.00","5017.00","-21695.00","0.00","-21695.00","--","--","-21695.00","-11.00","--","-21706.00","--","--","--","--","--","--","-0.57"
"110/05/29","103","4","4138","曜亞","1204479.00","809705.00","394774.00","--","--","394774.00","266727.00","--","128047.00","11000.00","139047.00","28689.00","110358.00","--","--","110358.00","44750.00","--","155108.00","106492.00","--","3866.00","151242.00","--","3866.00","4.02"
"110/05/29","103","4","4139","馬光-KY","667203.00","609587.00","57616.00","--","--","57616.00","148901.00","--","-91285.00","59945.00","-31340.00","6867.00","-38207.00","--","--","-38207.00","20331.00","--","-17876.00","6041.00","--","-44248.00","23854.00","--","-41730.00","0.19"
"110/05/29","103","4","4147","中裕","--","--","--","--","--","--","295559.00","16150.00","-279409.00","--","-279409.00","2326.00","-281735.00","--","--","-281735.00","3711.00","--","-278024.00","-281735.00","--","--","-278024.00","--","--","-1.32"
"110/05/29","103","4","4152","台微體","95922.00","--","95922.00","--","--","95922.00","767434.00","--","-671512.00","38944.00","-632568.00","292.00","-632860.00","--","--","-632860.00","-4228.00","--","-637088.00","-632860.00","--","--","-637088.00","--","--","-11.54"
"110/05/29","103","4","4153","鈺緯","935579.00","652298.00","283281.00","--","--","283281.00","168323.00","--","114958.00","28970.00","143928.00","25945.00","117983.00","--","--","117983.00","-107.00","--","117876.00","117983.00","--","--","117876.00","--","--","4.48"
"110/05/29","103","4","4154","康樂-KY","449529.00","139286.00","310243.00","--","--","310243.00","289001.00","--","21242.00","4401.00","25643.00","2870.00","22773.00","--","--","22773.00","4134.00","--","26907.00","22773.00","--","--","26907.00","--","--","1.09"
"110/05/29","103","4","4157","太景*-KY","104598.00","17563.00","87035.00","--","--","87035.00","495629.00","--","-408594.00","10941.00","-397653.00","6065.00","-403718.00","--","--","-403718.00","-5177.00","--","-408895.00","-403718.00","--","--","-408895.00","--","--","-0.58"
